Film,Brad Pitt är med i den.,290,Images\movie.jpg
Klocka,Visar tiden.,150,Images\clock.jpg
Bil,Glöm inte ratten.,50000,Images\car.jpg
Tärningar,Gör bilen fräsig.,59,Images\dice.jpg
Ratt,För att styra en bil.,430,Images\steering-wheel.jpg
Dator,Lär dig COBOL med denna.,5000,Images\computer.jpg
Mus,Den klickar.,300,Images\mouse.jpg
Skiva,Skapar en skön stämning.,100,Images\record.jpg
Skivspelare,Roterar skivor snabbt., 1500,Images\recordplayer.jpg
Mobiltelefon,Spela Snake med den.,3000,Images\mobilephone.jpg
